Q9FHH5	GDU3
Q7XUN6	SIT2
Q9SAB1	HSP70-16
Q9ZQ81	PAP9
Q8L7S3	At2g28450
E0CJS3	EOBII
Q9C6G0	At1g58050
Q9FKT1	LLG1
Q8LC83	RPS24B
Q9FI55	MHF1
Q9MAK9	RPT4B
Q54GD8	DDB_G0290223
Q9SRH6	HIR3
F4JV59	CABIN1
Q10L71	VLN2
Q2QWW7	7
Q2QWW7	PHT4
P0DKL0	GPL2
Q94HW2	RE1
Q2QUC5	CYP71P1
O80396	MKK3
Q8GUQ5	CURL3
Q9FYG4	GLOX1
F1RBN2	spag1a
O93400	actb
Q9FI80	PCMP-H38
Q6Z9C8	HSFB2B
Q940S3	GLCNAC1PUT1
B8BKI8	OsI_36121
P36062	AVT3
O64851	IQM4
P52420	PUR2
Q8NBA8	DTWD2
Q9SDN0	ATJ20
P96218	gltB
Q9LU44	SF1
Q8L9T5	ATL2
Q9LPV5	NRT2.5
Q653H7	ARF18
P43063	CDC28
P20825	pol
Q9SIS3	MAP65-6
P46782	RPS5
Q9FJH9	At5g60760
Q02527	Mgat3
Q9SZH2	PER43
P98204	ALA1
Q9FMV1	GAMMACAL1
Q06030	RPL12-1
Q38772	CDC2A
Q9FY79	LAC14
Q5VQ78	Os06g0143900
P25229	capza1
B7F845	RPL10A
Q05966	GRP10
P22944	niiA
Q9C7G1	PUB45
Q6A332	ALY3
O81845	PUMP1
F4K2A1	FPGS1
Q8LDS4	NAKR1
Q7LHG5	TY3B-I
Q8RWH9	NUP58
Q75LJ4	ACBP6
Q9SHV1	GLR2.2
Q058P6	CLT1
Q9LZC5	At5g03820
Q9R1S3	Pign
Q9SRR7	CML3
Q93Y37	MNS3
Q9SJW9	CDT1A
Q93ZL5	CDF2
Q8LB81	At5g33370
P28178	pkgB
Q9ZT94	RE2
Q7ZXW9	zfp36l2-A
Q8PDW3	ddlA
Q9FZ97	MUCI70
F4JKK0	SUD1
Q9SGA6	RPS19A
P34893	CPN10
Q258Y5	ARF12
